"Sepal-Length","Sepal-Width","Petal-Length","Petal-Width","Virginica"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,small,very small,very small,"No"
very small,small,very small,very small,"No"
very small,large,very small,very small,"No"
small,very large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,small,very small,very small,"No"
small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,small,very small,very small,"No"
small,very large,very small,very small,"No"
small,very large,very small,very small,"No"
small,very large,very small,very small,"No"
very small,large,very small,very small,"No"
small,large,very small,very small,"No"
very small,large,very small,very small,"No"
small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,small,very small,very small,"No"
small,large,very small,very small,"No"
very small,very large,very small,very small,"No"
small,very large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,small,very small,very small,"No"
small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,very small,very small,very small,"No"
very small,small,very small,very small,"No"
very small,large,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
very small,large,very small,very small,"No"
very small,small,very small,very small,"No"
small,large,very small,very small,"No"
very small,large,very small,very small,"No"
large,small,large,large,"No"
large,small,large,large,"No"
large,small,large,large,"No"
small,very small,large,small,"No"
large,small,large,large,"No"
small,small,large,small,"No"
large,large,large,large,"No"
very small,very small,small,small,"No"
large,small,large,small,"No"
very small,small,small,large,"No"
very small,very small,small,small,"No"
small,small,large,large,"No"
small,very small,large,small,"No"
small,small,large,large,"No"
small,small,small,small,"No"
large,small,large,large,"No"
small,small,large,large,"No"
small,small,large,small,"No"
large,very small,large,large,"No"
small,very small,small,small,"No"
small,small,large,large,"No"
small,small,large,small,"No"
large,very small,large,large,"No"
small,small,large,small,"No"
large,small,large,small,"No"
large,small,large,large,"No"
large,small,large,large,"No"
large,small,large,large,"No"
small,small,large,large,"No"
small,very small,small,small,"No"
small,very small,small,small,"No"
small,very small,small,small,"No"
small,small,small,small,"No"
small,small,large,large,"No"
small,small,large,large,"No"
small,large,large,large,"No"
large,small,large,large,"No"
large,very small,large,small,"No"
small,small,large,small,"No"
small,very small,large,small,"No"
small,very small,large,small,"No"
small,small,large,large,"No"
small,very small,large,small,"No"
very small,very small,small,small,"No"
small,small,large,small,"No"
small,small,large,small,"No"
small,small,large,small,"No"
large,small,large,small,"No"
very small,very small,small,small,"No"
small,small,large,small,"No"
large,large,very large,very large,"Yes"
small,small,large,large,"Yes"
very large,small,very large,very large,"Yes"
large,small,very large,large,"Yes"
large,small,very large,very large,"Yes"
very large,small,very large,very large,"Yes"
very small,very small,large,large,"Yes"
very large,small,very large,large,"Yes"
large,very small,very large,large,"Yes"
very large,large,very large,very large,"Yes"
large,small,large,very large,"Yes"
large,small,large,large,"Yes"
large,small,very large,very large,"Yes"
small,very small,large,very large,"Yes"
small,small,large,very large,"Yes"
large,small,large,very large,"Yes"
large,small,very large,large,"Yes"
very large,large,very large,very large,"Yes"
very large,very small,very large,very large,"Yes"
small,very small,large,large,"Yes"
large,small,very large,very large,"Yes"
small,small,large,very large,"Yes"
very large,small,very large,very large,"Yes"
large,small,large,large,"Yes"
large,large,very large,very large,"Yes"
very large,small,very large,large,"Yes"
large,small,large,large,"Yes"
small,small,large,large,"Yes"
large,small,very large,very large,"Yes"
very large,small,very large,large,"Yes"
very large,small,very large,large,"Yes"
very large,large,very large,very large,"Yes"
large,small,very large,very large,"Yes"
large,small,large,large,"Yes"
small,very small,very large,large,"Yes"
very large,small,very large,very large,"Yes"
large,large,very large,very large,"Yes"
large,small,very large,large,"Yes"
small,small,large,large,"Yes"
large,small,large,very large,"Yes"
large,small,very large,very large,"Yes"
large,small,large,very large,"Yes"
small,small,large,large,"Yes"
large,small,very large,very large,"Yes"
large,large,very large,very large,"Yes"
large,small,large,very large,"Yes"
large,very small,large,large,"Yes"
large,small,large,very large,"Yes"
large,large,large,very large,"Yes"
small,small,large,large,"Yes"
